author,title,text
小栗虫太郎,小栗虫太郎/オフェリヤ殺し/オフェリヤ殺し,然し、その幕から始めて、観客には見えないけれども、暗澹とした雲が、舞台を一面に覆い包んでしまった。
森鴎外,森鴎外/即興詩人,車を下る客の中に、稍※肥えたる一夫人あるを見て進み近づき、扶けて下らしめ、ことさらに挨拶す。
岡本綺堂,岡本綺堂/中国怪奇小説集 06 宣室志（唐）,一つの白い竜が渭水から出て来て、仏殿の軒にとどまって、それから更に東をさして行くのである。
夢野久作,夢野久作/街頭から見た新東京の裏面,今に親米になったらどうするだろうと思うが、そんな事は構わない。
ドイル,ドイル/暗号舞踏人の謎,ホームズは草や木のあいだを、レトリーバー犬が傷ついた鳥を探すように、探しまわったが、遂に彼はひどく喜んだ叫びを上げて、身をこごめて、小さな真鍮の円筒を拾い上げた。
横光利一,横光利一/夜の靴 ――木人夜穿靴去、石女暁冠帽帰（指月禅師）,これは去年に比較して不明なところがあるだけに、含んだ凄味が物をいっていて、睨みの幅が大きく深さがあった。
国枝史郎,国枝史郎/神秘昆虫館,負けずに云い返した。
大杉栄,大杉栄/科学の不思議,そして騒々しい爆音は雷なのだ。
菊池寛,菊池寛/真珠夫人,かうした一座の迎合を、秋山氏は冷然と、聴き流しながら、最後の断案を下すやうに云つた。
豊島与志雄,豊島与志雄/女心の強ければ,長谷川は室に寝ころんで、硝子戸越しに外を眺めた。
芥川龍之介,芥川龍之介/素戔嗚尊,それが素戔嗚尊には腹も立てば同時にまた何となく嬉しいような心もちもした。
豊島与志雄,豊島与志雄/レ・ミゼラブル 06 第三部　マリユス,いかめしい矜持に胸のふくれ上がるのを覚ゆる青年時代において、彼は一度ならず穴のあいた自分の靴の上に目を落としては、困窮の不正なる恥辱と痛切なる赤面とを知った。
ロラン,ロラン/ジャン・クリストフ 03 第一巻　曙,たえざる水音は彼の心を満たし、彼に眩暈を与える。
紫式部,紫式部/源氏物語 05 若紫,と女王は言った。
三遊亭円朝,三遊亭円朝/業平文治漂流奇談,しとやかに手を突いて、
島崎藤村,島崎藤村/夜明け前 04 第二部下,母刀自の枕屏風に
戸坂潤,戸坂潤/空間概念の分析,空間の問題がそれを取り込んだ夫々の領域の色彩を帯びているために、茲には決して一定した同一の空間の問題の形態はないように見える。
海野十三,海野十三/のろのろ砲弾の驚異 ――金博士シリーズ・１――,私が最大級の讃辞を博士に捧げていると、ロッセ氏は、そうかそうかと、ペルシャ猫のように澄んだ瞳をくるくるうごかして、しきりに感服の面持だった。
与謝野晶子,与謝野晶子/晶子詩篇全集,バガテルの薔薇の香、
吉川英治,吉川英治/宮本武蔵　08　円明の巻　,巌流は、鷹の行方を見ていなかった。
石川啄木,石川啄木/我等の一団と彼,さうして其の後には反動が来る。
戸坂潤,戸坂潤/一九三七年を送る日本,と共に他方に於て、軍需工業労働者の需要や、その一部となるべき熟練工の需要、幼年工の熟練工化の要求（之は教育界を或る程度まで動かし、文部省による技術工養成機関の設備や技術教育の要望などとなって現われている）、等々を見ると、恐らく今年度は、このような労資協調のための一時的なそして部分的な経済的根拠を有っているのでもあろう（動員下に於ける農村の経済的社会的事情はあまり公式には判らぬようである）。
吉川英治,吉川英治/宮本武蔵　08　円明の巻　,「ありがたいお言葉ですが、船島の土になるやも知れぬ身に、一夜二夜の宿縁を、ここかしこに残しては、去る身も、後の人々も、かえって煩わしいと思われますれば」
岡本綺堂,岡本綺堂/半七捕物帳 31 張子の虎,場所といい、事件といい、主人持ちの彼に取っては迷惑重々であったが、よんどころない羽目と覚悟をきめたらしく、かれは検視の終るまでおとなしくそこに抑留されていた。
豊島与志雄,豊島与志雄/理想の女,「僕とお前との児だ！然し……。
坂口安吾,坂口安吾/かげろふ談義 ――菱山修三へ――,車の中にちやんと毛皮を用意しておきましたから。
林不忘,林不忘/魔像 新版大岡政談/魔像 新版大岡政談,山城としては、急いでいることはいそいでもいた。
永井荷風,永井荷風/上野,此の景は池之端七軒町から茅町に到るあたりの汀から池を見たものであろう。
太宰治,太宰治/鴎,けれども、いまは、どうにも、てれくさくて言えない。
夏目漱石,夏目漱石/二百十日,「そりゃ君、仏国の革命の起る前に、貴族が暴威を振って細民を苦しめた事がかいてあるんだが。
菊池寛,菊池寛/恩を返す話,ところが、時はついに到来した。
海野十三,海野十三/すり替え怪画 烏啼天駆シリーズ・５,「あなたが、あたしにいい言葉をかけて下さるのは、こんな仕事をした直後だけに限るのよ。
与謝野晶子,与謝野晶子/平塚・山川・山田三女史に答う,最上の立場から国家をも社会をも愛したいのです。
鈴木三重吉,鈴木三重吉/古事記物語,そこにはきれいな川が流れていました。
中里介山,中里介山/大菩薩峠 20 禹門三級の巻,そこで土蔵と本宅とが相呼応して燃え上ります。
宮本百合子,宮本百合子/地は饒なり,彼等は自分の行手に何の影像も持っていなかった。
岸田国士,岸田国士/泉,「十一時ちよつと過ぎ……」
岡本綺堂,岡本綺堂/探偵夜話,入口は三坪ばかりの土間になっていて、その正面に四畳半ぐらいの一間が見えました。
島崎藤村,島崎藤村/破戒,『実は――』と文平は巻煙草の灰を落し乍ら、『ある処から猪子先生の書いたものを借りて来て、僕も読んで見た。
夏目漱石,夏目漱石/吾輩は猫である,細君も行きたいだろう、僕も連れて行ってやりたい。
野村胡堂,野村胡堂/錢形平次捕物控047　どんど焼,「お熊さん、昨夜離屋の二階へ行つた人は誰と誰だい」
折口信夫,折口信夫/副詞表情の発生,「大だちを誰佩きたちてぬかず登慕」すゑはたしても、あはむとぞ思ふ（紀）
海野十三,海野十三/ふしぎ国探検,と、東助は考えこんだが、すぐには思い出せなかった。
竹久夢二,竹久夢二/玩具の汽缶車,「うるせえな、昼寝をしている方がよっぽど楽だからな」
豊島与志雄,豊島与志雄/レ・ミゼラブル 07 第四部　叙情詩と叙事詩　プリューメ街の恋歌とサン・ドゥニ街の戦歌,「バベに会いに行くんだ。
吉川英治,吉川英治/黒田如水　,一面にはまたこういう空気も起った。
宮本百合子,宮本百合子/道標,わかりました。
森鴎外,森鴎外/ファウスト,○昔の小歌だ。
林不忘,林不忘/巷説享保図絵,何といっても、磯五とお高のあいだには、夫婦としての共通の理解も感情もあろう。
宮本百合子,宮本百合子/一九二七年八月より,「七銭で結構だよ」
宮沢賢治,宮沢賢治/詩ノート,あんまり黒緑なうろこ松の梢なので
夏目漱石,夏目漱石/吾輩は猫である,「うまいですよ、あの辺の柿は。
与謝野晶子,与謝野晶子/源氏物語 50 早蕨,と取り次がせた、物思わしそうにしている薫の姿の気の毒なのを中の君は見て、あの人が惜しむどおりに大姫君が生きていて、あの人の所に迎えられておれば、近い家のことで、始終消息ができ、花鳥につけても少し愉しい日送りができたであろうがなどと、姉君を思い出すと、忍耐そのものが生活であったような宇治の時のほうが、かえって悲しみも忍びよかったように思われ、故人の恋しさのつのるばかりであった。
三木清,三木清/唯物史観と現代の意識,なぜかならば、各の基礎経験の特殊性は人間の存在の特殊なる交渉の仕方によつて規定されてをり、そしてアントロポロギーはこの人間の存在が恰もその交渉の仕方に応じて直接に自己の本質を把握することによつて夫々特殊なる形態に於て成立してゐるが故に、基礎経験とアントロポロギーとの間には同質性、むしろ通約性とも見らるべきものが存在するからである。
鈴木行三,鈴木行三/後の業平文治,文治は暫し呆気に取られて居りましたが、
中里介山,中里介山/大菩薩峠 21 無明の巻,「お祖師様の一代記を菊人形に仕組んでみたら、という者もあるが、あれはいけないねえ、人々に相当したことをやらなけりゃ物笑いだからねえ……いっそ、上方から女浄瑠璃の大一座でも招んで来ようか知ら。
素木しづ,素木しづ/三十三の死,「お葉もまたこまつたもんだと思つたけれども、今ぢやなんでも出来ないことはないのだから――、けれどもお前が来たなら、さぞ驚くことだらうと思つて――」
海野十三,海野十三/火星兵団,それはなにかわからないが、きいんというような、妙な物音を耳にしたのである。
森鴎外,森鴎外/ファウスト,銘々この場を引き取って、内省いたしているが好い。
岸田国士,岸田国士/音の世界,もう一度だけね、これでおしまひだ。
吉川英治,吉川英治/私本太平記/08　新田帖　,執権殿のおことばもおなじものだ！台命にそむき召さるか」
黒島伝治,黒島伝治/橇,一時間ばかり戦闘がつづいた。
泉鏡花,泉鏡花/草迷宮,秋谷｜邸の細道じゃ、
渡辺温,渡辺温/花嫁の訂正 ――夫婦哲学――,」とＢが答えるのであった。
幸田露伴,幸田露伴/鵞鳥,」
芥川龍之介,芥川龍之介/河童,が、やはり好奇心に駆られ、熱心にマツグと話しつづけました。
宮本百合子,宮本百合子/獄中への手紙 03 一九三六年（昭和十一年）,今日は私は癒る確信がつきました。
石川啄木,石川啄木/雲は天才である,この時、後の障子に、サと物音がした。
海野十三,海野十三/のろのろ砲弾の驚異 ――金博士シリーズ・１――,「わしは君に、一つのヒントを与える。
ゴーゴリ,ゴーゴリ/外套,他の部分の補布に使われるので襟は年ごとにだんだん小さくなっていった。
宮本百合子,宮本百合子/獄中への手紙 11 一九四四年（昭和十九年）,わたしの留守の間にこちらが原っぱになったって、そんなことはおどろきもいたしません、勿論無事を願うのは自然ですが。
柳田国男,柳田国男/日本の伝説,古いところでは、常陸の筑波山が、低いけれども富士よりも好い山だといって、そのいわれを語り伝えておりました。
豊島与志雄,豊島与志雄/幻の彼方,窓を開いてみた。
徳富蘆花,徳冨蘆花/小説　不如帰　,十二隻の艨艟一縦列をなして、午後五時大同江口を離れ、伸びつ縮みつ竜のごとく黄海の潮を巻いて進みぬ。
紫式部,紫式部/源氏物語 55 手習,だれにわかることがあるものですか。
倉田百三,倉田百三/生活と一枚の宗教,その結果救いの光に触れるわけであります。
佐藤垢石,佐藤垢石/食べもの,飛騨、信濃、陸奥そのほかの、山国へ行っては皆同じことだ。
小川未明,小川未明/海ほおずき,なるほど、おばあさんのいったように、一丁ばかりゆくと一軒の車屋がありました。
折口信夫,折口信夫/水中の友,謂はゞ、科学者の行ふ実験のやうに、彼においては、生活の実験が行はれて行くのである。
薄田泣菫,薄田泣菫/艸木虫魚,「気に触ったらごめんなさい。
坂口安吾,坂口安吾/狼園,私の顔を自分の方に向けさせた。
種田山頭火,種田山頭火/其中日記 12 （十二）,午後、ぢつとしてはゐられないので歩く、あてもなく歩くのである、さびしいといふよりもかなしい散歩だ（――いかにさびしきものとかは知る、――）、雨が落ちだしたので、濡れて戻る、いよ／＼さびしく、さらにかなしく。
坂口安吾,坂口安吾/蟹の泡,傑作は非情であり、低い意味の人間性は排した方がよいといふ考へだ。
与謝野晶子,与謝野晶子/晶子詩篇全集,下駄を切らして俯向いた
夢野久作,夢野久作/あやかしの鼓,青褪めて鬚を生やして、塵埃まみれの草履を穿いた吾が姿を見て私は笑うことも出来なかった。
寺田寅彦,寺田寅彦/科学と文学,それからまた、頭の中で考えただけでは充分につじつまが合ったつもりでいた推論などが、歴然と目の前の文章となって客観されてみると存外疑わしいものに見えて来て、もう一ぺん初めからよく考え直してみなければならないようなことになる。
森鴎外,森鴎外/追儺,その式に黒豆を背後へ投げる事があつた。
島崎藤村,島崎藤村/夜明け前 01 第一部上,「新茶屋の境から峠の峰まで道普請よなし。
アンデルセン,アンデルセン/小夜啼鳥/小夜啼鳥,あなたのお身のまわりにかくれておりますわるいこと、よいこと、なにくれとなくうたいましょう。
寺田寅彦,寺田寅彦/ルクレチウスと科学,精神を組成するものは、「精」、「熱」、「空気」、とそれに第四のある「名のない者」とである。
田山花袋,田山花袋/田舎教師,校長はこんなことを言った。
神西清,神西清/ワーニャ伯父さん ――田園生活の情景　四幕――,夜番の拍子木の音。
吉川英治,吉川英治/私本太平記/07　千早帖　,さあ立て」
岸田国士,岸田国士/文芸と国語,公の場所では標準語が使へないと不便ですが、下手に地方弁をかくすやり方でなく、寧ろ標準語を地方語化するぐらゐの信念と気魄をもつて行きたい。
牧野信一,牧野信一/蝉,「――「ところがね、川瀬！」と純吉は一つ大袈裟な息をいれて「僕の云ふことを一寸真面目になつて聞いて呉れ。
中里介山,中里介山/大菩薩峠 29 年魚市の巻,海に当面して、右か、左かの思案を、きめねばならぬ境遇に立たせられていることをさとりました。
海野十三,海野十三/怪星ガン,かれもおそらく、じぶんの小さい脳髄だけでは持ちきれないほどの推理こんらんになやんでいるのだろう。
直木三十五,直木三十五/南国太平記,今度は――」
吉川英治,吉川英治/大岡越前,「では、たのむ」
海野十三,海野十三/地底戦車の怪人,安全条件
夏目漱石,夏目漱石/硝子戸の中,そうしてその好意が先方に通じるのが、私にとっては、何よりも尊とい報酬なのです。
神西清,神西清/決闘,「わかりました。
岡本綺堂,岡本綺堂/恨みの蠑螺,「これほど言って聞かせても判らなければ、勝手にしろ。
太宰治,太宰治/新樹の言葉,「さるすべりじゃないだろう。
豊島与志雄,豊島与志雄/秦の出発,はじめ、洪正敏が逢ってくれるかどうかが危ぶまれた。
森鴎外,森鴎外/伊沢蘭軒,そして南畝が蘭軒の家に来たことは、始て此に記載せられてゐる。
宮本百合子,宮本百合子/婦人と文学,」しかし、そう感じながら光代はその夫について、大連まで放浪して行く。
岸田国士,岸田国士/富士はおまけ（ラヂオ・ドラマ）,やがて、一人の洋服を着た中年の男が現はれる。
宮本百合子,宮本百合子/白い蚊帳,「おやおや、怪しい道案内だな。
吉川英治,吉川英治/三国志　03　群星の巻　,「呉の孫堅が討たれた」
鈴木行三,鈴木行三/敵討札所の霊験,と又九郎夫婦の死骸をごろ／＼土間へ転がして、鉄砲を持って来て爺婆の死骸を縁の下へ入れましたが、能く死骸を縁の下へ入れる奴です。
吉川英治,吉川英治/大岡越前,どうして、父楽翁の駕籠に、見知らぬ武家が、乗っているのか。
夏目漱石,夏目漱石/行人,自分は母から聞きたい事も聞かずに、父の命令通り、はいと云って、皆なの前へ姿をあらわした。
坂口安吾,坂口安吾/現代忍術伝,「オイ、起きろよ。
種田山頭火,種田山頭火/其中日記 10 （十）,善良なる愚人ではいけない。
吉川英治,吉川英治/私本太平記/03　みなかみ帖　,と、彼が、毛利｜時親なる人物の発見を、ここで熱心にしゃべり出したときだった。
坂口安吾,坂口安吾/お奈良さま,それを為しえない者は野蛮人です。
宮沢賢治,宮沢賢治/柳沢,（おい。
坂口安吾,坂口安吾/夜長姫と耳男,「耳男の造ったバケモノの像は、耳男が無数の蛇を裂き殺して逆吊りにして、生き血をあびながら咒いをこめて刻んだバケモノだから、疫病よけのマジナイぐらいにはなるらしいわ。
豊島与志雄,豊島与志雄/反抗,然しその場面を想像すると、自分自身が恐ろしくなった。
佐左木俊郎,佐左木俊郎/駈落,菊枝は、爺さんのその言葉を、嫌っていたし、怖れてもいた。
織田作之助,織田作之助/土曜夫人,「おい、あの子今日はおれへんな。
大杉栄,大杉栄/続獄中記,すると看守の奴等は青くなって、慄えあがって、手を合せて、どうか助けてくれって、あやまるんです。
小熊秀雄,小熊秀雄/小熊秀雄全集-07 詩集（6）長篇詩集,決定的に我々の勝です、
夢野久作,夢野久作/人の顔,「……ネ……お父さま……あの小さな星がいくつもいくつもあるのがお母さまのお髪よ……いつも結っていらっしゃる……ネ……それから二つピカピカ光っているのがお口よ……ネ……」
吉川英治,吉川英治/三国志　11　五丈原の巻　,心憎い用意ではある」と語らい合って、なお数日を進むうちに、一日、司馬懿は突然、曹真や劉曄にこう云い出した。
海野十三,海野十三/人造人間戦車の機密 ――金博士シリーズ・２――,あの醤め、わしが、珍味に目がないことを知っていて、大きなものをせびりよる。
太宰治,太宰治/一日の労苦,生れて、はじめてのことである。
吉川英治,吉川英治/私本太平記/07　千早帖　,「大蔵、その上にまたさっそくだが、そちならではの急務がある。
林不忘,林不忘/丹下左膳 03 日光の巻,あたしだって、こんな馬鹿げたことはしたかアないけれどサ、その一風っていう爺さんの御代参に、こうして毎晩、権現様へ参詣させられるんだもの。
岡本綺堂,岡本綺堂/正雪の二代目,時機到来すれば拙者も遣ります。
国枝史郎,国枝史郎/大捕物仙人壺,それで二人は舟へ乗った。
豊島与志雄,豊島与志雄/レ・ミゼラブル 04 第一部　ファンテーヌ,まったくいい心地であった。
北原白秋,北原白秋/フレップ・トリップ,みんなもそう思ったにちがいなかった。
林芙美子,林芙美子/濡れた葦,よしツ！俺は何かやらう‥‥酒の力をかりて、時には明日にでも、現在の職業から離れ得る自信に満々とした思ひを持ちながら、家へかへつて来ると、妻や子供のうす汚なさに引きずられて、ずるずると他愛もなく無為な歳月が過ぎていつてしまふ。
北原白秋,北原白秋/思ひ出 抒情小曲集,さはいへ此集の第三章に収めた「おもひで」二十篇の追憶体は寧ろ「邪宗門」以前の詩風であつた。
中里介山,中里介山/大菩薩峠 21 無明の巻,話を聞きたがってせがむところは、世の常の少年と少しも変りはない。
小林多喜二,小林多喜二/防雪林,中には、ブツキラ棒に興奮して、※はらない口で、吃りながらしやべるものもあつた。
